0180440000,712.1999999999999,['B-']
0180450000,21.48,['B-']
0180460000,8.4,['B-']
0180470000,1.23,['B-']
0180480000,0.47500000000000003,['B-']
0180490000,0.17,['B-', 'BN']
0180500000,0.085,['B-', 'BN']
0180510000,2.0000000000000002e-07,[]
0180520000,0.01,['B-']
0180530000,0.003,[]
0190320000,None,[]
0190330000,2.5000000000000002e-08,[]
0190340000,2.5000000000000002e-08,[]
0190350000,0.178,[]
0190360000,0.342,[]
0190370000,1.226,['EC']
0190380000,458.16,['EC']
0190380001,0.924,['EC']
0190390000,Inf,None
0190400000,3.9356928e+16,[]
0190410000,Inf,None
0190420000,44496.0,['B-']
0190430000,80280.0,['B-']
0190440000,1327.8,['B-']
0190450000,1068.6,['B-']
0190460000,105.0,['B-']
0190470000,17.5,['B-']
0190480000,6.8,['B-']
0190490000,1.26,['B-', 'BN']
0190500000,0.47200000000000003,['B-', 'BN']
0190510000,0.365,['B-', 'BN']
0190520000,0.105,['B-', 'BN']
0190530000,0.03,['B-', 'BN', 'N']
0190540000,0.01,['B-', 'BN']
0190550000,0.003,[]
0200340000,3.5e-08,['P']
0200350000,0.0257,['EC', 'EP', 'P']
0200360000,0.10200000000000001,['EC', 'EP']
0200370000,0.1811,['EC', 'EP']
0200380000,0.44,['EC']
0200390000,0.8596,['EC']
0200400000,9.4608e+28,[]
0200410000,3216672000000.0,['EC']
0200420000,Inf,None
0200430000,Inf,None
0200440000,Inf,None
0200450000,14049504.000000002,['B-']
0200460000,8.83008e+22,[]
0200470000,391910.39999999997,['B-']
0200480000,7.25328e+26,['B-']
0200490000,523.08,['B-']
0200500000,13.9,['B-']
0200510000,10.0,['B-']
0200520000,4.6,['B-', 'BN']
0200530000,0.09,['B-', 'BN']
0200540000,0.08600000000000001,['B-']
0200550000,0.022,['B-']
0200560000,0.01,[]
0200570000,0.005,[]
0210360000,None,[]
0210370000,None,[]
0210380000,None,[]
0210390000,3.0000000000000004e-07,['P']
0210400000,0.18230000000000002,['EC']
0210410000,0.5962999999999999,['EC']
0210420000,0.6808,['EC']
0210420001,62.0,['EC']
0210430000,14007.6,['EC']
0210440000,14292.0,['EC']
0210440001,210996.0,[]
0210450000,Inf,None
0210450001,0.318,['IT']
0210460000,7239456.000000001,['B-']
0210460001,18.75,['IT']
0210470000,289370.88,['B-']
0210480000,157212.0,['B-']
0210490000,3430.8,['B-']
0210500000,102.5,['B-']
0210500001,0.35,['IT']
0210510000,12.4,['B-']
0210520000,8.2,['B-']
0210530000,3.0,['B-']
0210540000,0.36,['B-']
0210550000,0.105,['B-']
0210560000,0.06,[]
0210570000,0.013000000000000001,['B-']
0210580000,0.012,['B-']
0210590000,0.01,[]
0210600000,0.003,['B-']
0220380000,1.2000000000000002e-07,[]
0220390000,0.031,['EC', 'EP']
0220400000,0.0533,['EC', 'EP']
0220410000,0.08040000000000001,['EC', 'EP']
0220420000,0.199,['EC']
0220430000,0.509,['EC']
0220440000,1892160000.0,['EC']
0220450000,11088.0,['EC']
0220460000,Inf,None
0220470000,Inf,None
0220480000,Inf,None
0220490000,Inf,None
0220500000,Inf,None
0220510000,345.59999999999997,['B-']
0220520000,102.0,['B-']
0220530000,32.7,['B-']
0220540000,1.5,['B-']
0220550000,1.3,['B-']
0220560000,0.2,['B-']
0220570000,0.06,['B-']
0220580000,0.059000000000000004,['B-']
0220590000,0.03,['B-']
0220600000,0.022,['B-']
0220610000,3.0000000000000004e-07,[]
0220620000,0.01,[]
0220630000,0.003,[]
0230400000,None,[]
0230410000,None,[]
0230420000,5.5e-08,[]
0230430000,0.8,['EC']
0230440000,0.111,[]
0230440001,0.15,[]
0230450000,0.547,[]
0230460000,0.4225,[]
0230460001,0.00102,['IT']
0230470000,1956.0,[]
0230480000,1380110.4,['EC']
0230490000,28512000.0,['EC']
0230500000,4.41504e+24,[]
0230510000,Inf,None
0230520000,224.57999999999998,['B-']
0230530000,92.58,['B-']
0230540000,49.8,['B-']
0230550000,6.54,['B-']
0230560000,0.216,['B-']
0230570000,0.35,['B-', 'BN']
0230580000,0.185,['B-']
0230590000,0.075,['B-']
0230600000,0.068,['B-']
0230610000,0.047,['B-']
0230620000,1.5000000000000002e-07,['B-']
0230630000,0.017,[]
0230640000,0.019,['B-']
0230650000,0.01,[]
0240420000,0.013000000000000001,['EC']
0240430000,0.0216,['EC', 'EP']
0240440000,0.053,['EC', 'EP']
0240450000,0.0609,['EC', 'EP']
0240460000,0.26,[]
0240470000,0.5,[]
0240480000,77616.0,['EC']
0240490000,2538.0,[]
0240500000,4.09968e+25,[]
0240510000,2393366.4,['EC']
0240520000,Inf,None
0240530000,Inf,None
0240540000,Inf,None
0240550000,209.82,['B-']
0240560000,356.40000000000003,['B-']
0240570000,21.1,['B-']
0240580000,7.0,['B-']
0240590000,0.46,['B-']
0240600000,0.49,['B-']
0240610000,0.27,['B-']
0240620000,0.19,['B-']
0240630000,0.129,['B-']
0240640000,0.043000000000000003,['B-']
0240650000,0.027,[]
0240660000,0.01,['B-']
0240670000,0.05,[]
0250440000,1.05e-07,[]
0250450000,7e-08,[]
0250460000,0.034,['EC', 'EP']
0250470000,0.1,['EC', 'EP']
0250480000,0.1581,['EC', 'EP']
0250490000,0.382,[]
0250500000,0.28319,['EC']
0250500001,105.0,['EC']
0250510000,2772.0,['EC']
0250520000,483062.4,['EC']
0250520001,1266.0,[]
0250530000,116683200000000.0,['EC']
0250540000,26961120.0,['EC']
0250550000,Inf,None
0250560000,9284.039999999999,['B-']
0250570000,85.4,['B-']
0250580000,3.0,['B-']
0250580001,65.4,['B-']
0250590000,4.59,['B-']
0250600000,51.0,['B-']
0250600001,1.77,['B-', 'IT']
0250610000,0.67,['B-']
0250620000,0.671,['B-']
0250620001,0.092,['B-']
0250630000,0.29,['B-']
0250640000,0.09,['B-', 'BN']
0250650000,0.092,['B-', 'BN']
0250660000,0.064,['B-', 'BN']
0250670000,0.047,['B-']
0250680000,0.028,['B-']
0250690000,0.014,['B-']
0260450000,0.00189,['EP', 'EC']
0260460000,0.013000000000000001,['EC']
0260470000,0.0219,['EC']
0260480000,0.044,['EC', 'EP']
0260490000,0.06470000000000001,['EC', 'EP']
0260500000,0.155,['EC', 'EP']
0260510000,0.305,['EC']
0260520000,29790.0,['EC']
0260520001,45.9,['EC']
0260530000,510.59999999999997,['EC']
0260530001,152.4,['IT']
0260540000,Inf,None
0260550000,86534784.0,['EC']
0260560000,Inf,None
0260570000,Inf,None
0260580000,Inf,None
0260590000,3844368.0,['B-']
0260600000,47304000000000.0,['B-']
0260610000,358.8,['B-']
0260620000,68.0,['B-']
0260630000,6.1,['B-']
0260640000,2.0,['B-']
0260650000,0.81,['B-']
0260650001,1.12,['B-']
0260660000,0.44,['B-']
0260670000,0.416,['B-']
0260680000,0.187,['B-']
0260690000,0.109,['B-']
0260700000,0.094,['B-']
0260710000,0.028,['B-']
0260720000,1.5000000000000002e-07,[]
0270490000,3.5e-08,[]
0270500000,0.044,['EC', 'EP']
0270510000,2.0000000000000002e-07,['EC']
0270520000,0.115,['EC']
0270530000,0.24,['EC']
0270530001,0.247,['EC', 'P']
0270540000,0.19328,['EC']
0270540001,88.8,['EC']
0270550000,63108.00000000001,['EC']
0270560000,6672931.2,['EC']
0270570000,23478336.0,['EC']
0270580000,6122304.0,['EC']
0270580001,32760.0,['IT']
0270590000,Inf,None
0270600000,166344192.0,['B-']
0270600001,628.02,[]
0270610000,5940.0,['B-']
0270620000,90.0,['B-']
0270620001,834.6,['B-', 'IT']
0270630000,27.4,['B-']
0270640000,0.3,['B-']
0270650000,1.16,['B-']
0270660000,0.2,['B-']
0270670000,0.425,['B-']
0270680000,0.199,['B-']
0270680001,1.6,['B-']
0270690000,0.22,['B-']
0270700000,0.11900000000000001,['B-']
0270700001,0.5,['B-']
0270710000,0.079,['B-', 'BN']
0270720000,0.0599,['B-']
0270730000,0.041,['B-']
0270740000,0.03,['B-']
0270750000,0.034,['B-']
0280480000,0.0021000000000000003,[]
0280490000,0.0075,['EC', 'EP']
0280500000,0.012,['EP']
0280510000,2.0000000000000002e-07,['EC']
0280520000,0.038,['EC', 'EP']
0280530000,0.045,['EC', 'EP']
0280540000,0.10400000000000001,['EC']
0280550000,0.2047,['EC']
0280560000,524880.0,['EC']
0280570000,128160.0,[]
0280580000,Inf,None
0280590000,2396736000000.0,['EC']
0280600000,Inf,None
0280610000,Inf,None
0280620000,Inf,None
0280630000,3191443200.0,['B-']
0280640000,Inf,None
0280650000,9061.884,['B-']
0280660000,196560.0,['B-']
0280670000,21.0,['B-']
0280680000,29.0,['B-']
0280690000,11.4,['B-']
0280690001,3.5,['B-']
0280700000,6.0,['B-']
0280710000,2.56,['B-']
0280720000,1.57,['B-']
0280730000,0.84,['B-']
0280740000,0.68,['B-']
0280750000,0.6,['B-']
0280760000,0.238,['B-']
0280770000,0.061,['B-']
0280780000,0.11,['B-']
0290520000,None,[]
0290530000,3.0000000000000004e-07,[]
0290540000,7.500000000000001e-08,[]
0290550000,0.04,[]
0290560000,0.094,['EC']
0290570000,0.1963,[]
0290580000,3.204,['EC']
0290590000,81.5,['EC']
